column,dtype,pct_missing,is_text_column,n_unique,description,drop_reasons
id,float64,100.0,False,0,A unique LC assigned ID for the loan listing.,MUST_DROP|HIGH_MISSING
member_id,float64,100.0,False,0,A unique LC assigned Id for the borrower member.,MUST_DROP|HIGH_MISSING
url,float64,100.0,False,0,URL for the LC page with listing data.,MUST_DROP|HIGH_MISSING
next_pymnt_d,str,99.79,True,98,Next scheduled payment date,HIGH_MISSING|LEAKAGE_NAME_PATTERN
orig_projected_additional_accrued_interest,float64,99.74,False,0,The original projected additional interest amount that will accrue for the given hardship payment plan as of the Hardship Start Date. This field will be null if the borrower has broken their hardship payment plan.,MUST_DROP|HIGH_MISSING
hardship_start_date,str,99.59,True,26,The start date of the hardship plan period,HIGH_MISSING|LEAKAGE_NAME_PATTERN
payment_plan_start_date,str,99.59,True,25,"The day the first hardship plan payment is due. For example, if a borrower has a hardship plan period of 3 months, the start date is the start of the three-month period in which the borrower is allowed to make interest-only payments.",HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_end_date,str,99.59,True,24,The end date of the hardship plan period,HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_reason,str,99.59,True,9,Describes the reason the hardship plan was offered,HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_loan_status,str,99.59,True,5,Loan Status as of the hardship plan start date,HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_status,str,99.59,True,3,"Describes if the hardship plan is active, pending, canceled, completed, or broken",HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_type,str,99.59,True,1,Describes the hardship plan offering,HIGH_MISSING|LEAKAGE_NAME_PATTERN
deferral_term,float64,99.59,False,0,Amount of months that the borrower is expected to pay less than the contractual monthly payment amount due to a hardship plan,MUST_DROP|HIGH_MISSING
hardship_amount,float64,99.59,False,0,The interest payment that the borrower has committed to make each month while they are on a hardship plan,HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_length,float64,99.59,False,0,The number of months the borrower will make smaller payments than normally obligated due to a hardship plan,HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_dpd,float64,99.59,False,0,Account days past due as of the hardship plan start date,HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_payoff_balance_amount,float64,99.59,False,0,The payoff balance amount as of the hardship plan start date,HIGH_MISSING|LEAKAGE_NAME_PATTERN
hardship_last_payment_amount,float64,99.59,False,0,The last payment amount as of the hardship plan start date,HIGH_MISSING|LEAKAGE_NAME_PATTERN
